# target name	accession	tlen	query name	accession	qlen	E-value	score	bias	#	of	c-Evalue	i-Evalue	score	bias	from	to	from	to	from	to	acc	description of target
DUF2895	PF11444.9	198	Ndai_NRG1	-	331	0.13	11.7	0.9	2	2	0.00013	0.46	9.8	0.5	94	134	242	282	233	293	0.89	Protein of unknown function (DUF2895)
zf-met	PF12874.8	25	Ndai_NRG1	-	331	0.3	11.5	0.3	1	3	8.30E-05	0.3	11.5	0.3	3	21	272	290	269	293	0.88	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ndai_NRG1	-	331	0.3	11.5	0.3	2	3	0.19	7.10E+02	0.8	0.1	7	22	289	304	289	304	0.91	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ndai_NRG1	-	331	0.3	11.5	0.3	3	3	0.43	1.60E+03	-0.3	0.6	10	21	309	320	305	327	0.59	Zinc-finger of C2H2 type
zf-C2H2	PF00096.27	23	Ncas_NRG1	-	294	0.00013	22.3	1.3	1	3	0.31	1.10E+03	0.4	0.4	15	23	55	64	53	64	0.84	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Ncas_NRG1	-	294	0.00013	22.3	1.3	2	3	3.50E-08	0.00013	22.3	1.3	1	23	228	250	228	250	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Ncas_NRG1	-	294	0.00013	22.3	1.3	3	3	0.13	4.70E+02	1.6	9.2	2	23	257	280	256	280	0.93	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Ncas_NRG1	-	294	0.013	15.9	5.2	1	4	0.24	8.90E+02	0.6	0.1	2	11	56	66	55	71	0.78	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Ncas_NRG1	-	294	0.013	15.9	5.2	2	4	0.005	18	6	1	11	26	224	239	215	239	0.67	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Ncas_NRG1	-	294	0.013	15.9	5.2	3	4	3.60E-06	0.013	15.9	5.2	1	19	242	260	242	269	0.84	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Ncas_NRG1	-	294	0.013	15.9	5.2	4	4	0.32	1.20E+03	0.2	0.2	3	13	274	284	272	289	0.71	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Ncas_NRG1	-	294	0.024	15.5	0.8	1	3	2.4	8.90E+03	-1.8	0.4	15	24	55	64	52	64	0.78	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Ncas_NRG1	-	294	0.024	15.5	0.8	2	3	6.50E-06	0.024	15.5	0.8	1	19	228	246	228	250	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Ncas_NRG1	-	294	0.024	15.5	0.8	3	3	0.73	2.60E+03	-0.2	7.9	2	23	257	280	256	281	0.91	C2H2-type zinc finger
zf-met	PF12874.8	25	Ncas_NRG1	-	294	0.089	13.2	0.5	1	3	5	1.80E+04	-3.9	1.2	22	25	196	199	196	199	0.93	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ncas_NRG1	-	294	0.089	13.2	0.5	2	3	2.50E-05	0.089	13.2	0.5	1	21	228	248	228	251	0.91	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ncas_NRG1	-	294	0.089	13.2	0.5	3	3	1	3.80E+03	-1.5	0.2	14	19	275	280	266	282	0.63	Zinc-finger of C2H2 type
DUF2895	PF11444.9	198	Ncas_NRG1	-	294	0.13	11.6	0.1	1	1	6.00E-05	0.22	10.9	0.1	96	134	202	240	190	251	0.87	Protein of unknown function (DUF2895)
zf-C2H2	PF00096.27	23	Knag_NRG1	-	255	8.30E-06	26	14.8	1	2	7.50E-08	0.00027	21.2	2.4	1	23	185	207	185	207	0.96	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Knag_NRG1	-	255	8.30E-06	26	14.8	2	2	0.00029	1.1	9.9	4.7	3	23	215	237	213	237	0.95	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Knag_NRG1	-	255	0.00047	20.5	3.2	1	3	0.008	29	5.3	0.5	13	26	183	196	180	196	0.85	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Knag_NRG1	-	255	0.00047	20.5	3.2	2	3	1.30E-07	0.00047	20.5	3.2	1	25	199	225	199	226	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Knag_NRG1	-	255	0.00047	20.5	3.2	3	3	0.57	2.10E+03	-0.5	0.1	5	13	233	241	230	253	0.73	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Knag_NRG1	-	255	0.00084	20	12.8	1	2	6.70E-06	0.025	15.4	1.4	1	23	185	207	185	208	0.94	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Knag_NRG1	-	255	0.00084	20	12.8	2	2	0.00069	2.5	9.2	4.2	2	23	214	237	213	238	0.93	C2H2-type zinc finger
BBS1	PF14779.7	255	Knag_NRG1	-	255	0.15	11.5	0.1	1	2	9.20E-05	0.33	10.4	0	95	164	21	89	14	102	0.82	Ciliary BBSome complex subunit 1
BBS1	PF14779.7	255	Knag_NRG1	-	255	0.15	11.5	0.1	2	2	0.84	3.10E+03	-2.6	0	130	163	154	185	123	198	0.57	Ciliary BBSome complex subunit 1
zf-met	PF12874.8	25	Knag_NRG1	-	255	1.4	9.4	6.2	1	2	0.0015	5.6	7.5	0.5	3	21	187	205	184	208	0.89	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Knag_NRG1	-	255	1.4	9.4	6.2	2	2	0.019	69	4	0.8	6	21	220	235	218	237	0.92	Zinc-finger of C2H2 type
zf-C2H2	PF00096.27	23	Kfar_NRG1	-	250	8.60E-07	29.1	13.6	1	2	4.70E-08	0.00017	21.9	1.9	1	23	172	194	172	194	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Kfar_NRG1	-	250	8.60E-07	29.1	13.6	2	2	7.50E-05	0.27	11.8	4.3	1	23	200	224	200	224	0.97	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Kfar_NRG1	-	250	7.40E-05	23	2	1	3	0.013	46	4.7	0.2	15	26	172	183	163	183	0.85	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Kfar_NRG1	-	250	7.40E-05	23	2	2	3	2.00E-08	7.40E-05	23	2	1	25	186	212	186	213	0.85	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Kfar_NRG1	-	250	7.40E-05	23	2	3	3	1.5	5.50E+03	-1.9	0.1	5	9	220	224	218	233	0.72	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Kfar_NRG1	-	250	0.0011	19.7	11.8	1	2	4.10E-05	0.15	13	1	1	19	172	190	172	194	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Kfar_NRG1	-	250	0.0011	19.7	11.8	2	2	0.0002	0.75	10.8	3.9	1	23	200	224	200	225	0.95	C2H2-type zinc finger
zf-C2H2_jaz	PF12171.9	27	Kfar_NRG1	-	250	0.064	13.6	1.2	1	2	8.60E-05	0.31	11.4	0.1	1	20	171	190	171	192	0.88	Zinc-finger double-stranded RNA-binding
zf-C2H2_jaz	PF12171.9	27	Kfar_NRG1	-	250	0.064	13.6	1.2	2	2	0.34	1.20E+03	-0.1	0.1	16	23	220	227	211	227	0.83	Zinc-finger double-stranded RNA-binding
zf-met	PF12874.8	25	Kfar_NRG1	-	250	0.1	13.1	6.6	1	2	9.50E-05	0.35	11.3	0.6	1	21	172	192	172	195	0.91	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Kfar_NRG1	-	250	0.1	13.1	6.6	2	2	0.016	58	4.3	0.8	6	21	207	222	205	224	0.92	Zinc-finger of C2H2 type
zf-H2C2_2	PF13465.7	26	Cgla_NRG1	-	315	0.00011	22.5	2.8	1	2	3.50E-08	0.00011	22.5	2.8	1	25	266	292	266	293	0.92	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Cgla_NRG1	-	315	0.00011	22.5	2.8	2	2	0.14	4.30E+02	1.6	0.2	4	13	299	308	296	310	0.86	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Cgla_NRG1	-	315	0.0009	19.9	14.9	1	2	1.30E-05	0.04	14.8	1.2	1	23	252	274	252	275	0.94	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Cgla_NRG1	-	315	0.0009	19.9	14.9	2	2	0.00081	2.5	9.2	6.6	1	23	280	304	280	305	0.94	C2H2-type zinc finger
zf-C2H2	PF00096.27	23	Cgla_NRG1	-	315	0.0013	19.1	17.1	1	2	1.20E-05	0.038	14.5	1.8	1	23	252	274	252	274	0.95	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Cgla_NRG1	-	315	0.0013	19.1	17.1	2	2	0.00065	2	9.1	7.9	1	23	280	304	280	304	0.97	Zinc finger, C2H2 type
MAGI_u1	PF16663.6	60	Cgla_NRG1	-	315	0.21	11.6	6.2	1	3	3.3	1.00E+04	-3.4	0	10	25	8	23	6	26	0.72	Unstructured region on MAGI
MAGI_u1	PF16663.6	60	Cgla_NRG1	-	315	0.21	11.6	6.2	2	3	0.00021	0.63	10.1	0.2	5	33	131	157	127	164	0.76	Unstructured region on MAGI
MAGI_u1	PF16663.6	60	Cgla_NRG1	-	315	0.21	11.6	6.2	3	3	0.017	52	3.9	0.3	3	29	170	197	168	201	0.77	Unstructured region on MAGI
zf-met	PF12874.8	25	Cgla_NRG1	-	315	2	8.9	9.8	1	3	1.8	5.50E+03	-2	0	14	23	39	48	32	49	0.63	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Cgla_NRG1	-	315	2	8.9	9.8	2	3	0.00058	1.8	9.1	0.6	2	21	253	272	252	275	0.89	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Cgla_NRG1	-	315	2	8.9	9.8	3	3	0.049	1.50E+02	3	2	6	21	287	302	285	304	0.92	Zinc-finger of C2H2 type
zf-RING-like	PF08746.12	43	Cgla_NRG1	-	315	3.2	8.2	10.7	1	2	2.1	6.50E+03	-2.4	0.3	32	43	246	257	243	258	0.67	RING-like domain
zf-RING-like	PF08746.12	43	Cgla_NRG1	-	315	3.2	8.2	10.7	2	2	5.20E-05	0.16	12.4	4.7	13	38	281	307	276	310	0.85	RING-like domain
zf-H2C2_2	PF13465.7	26	Suva_NRG1	-	233	0.00054	20.3	5.3	1	3	0.059	3.60E+02	1.9	0.1	15	26	175	186	170	186	0.82	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Suva_NRG1	-	233	0.00054	20.3	5.3	2	3	8.90E-08	0.00054	20.3	5.3	1	25	189	215	189	216	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Suva_NRG1	-	233	0.00054	20.3	5.3	3	3	0.27	1.60E+03	-0.2	0.1	4	12	222	230	219	232	0.75	Zinc-finger double domain
zf-C2H2	PF00096.27	23	Suva_NRG1	-	233	0.00064	20.1	0.7	1	2	1.10E-07	0.00064	20.1	0.7	1	23	175	197	175	197	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Suva_NRG1	-	233	0.00064	20.1	0.7	2	2	0.015	94	3.8	10.5	1	23	203	227	203	227	0.95	Zinc finger, C2H2 type
zf-C2H2_4	PF13894.7	24	Suva_NRG1	-	233	0.0023	18.6	14.7	1	2	8.30E-06	0.05	14.5	0.4	1	19	175	193	175	197	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Suva_NRG1	-	233	0.0023	18.6	14.7	2	2	0.0015	9	7.5	8.4	1	23	203	227	203	228	0.95	C2H2-type zinc finger
zf-H2C2_2	PF13465.7	26	Skud_NRG1	-	232	0.00054	20.3	5.3	1	3	0.078	3.60E+02	1.9	0.1	15	26	174	185	169	185	0.82	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Skud_NRG1	-	232	0.00054	20.3	5.3	2	3	1.20E-07	0.00054	20.3	5.3	1	25	188	214	188	215	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Skud_NRG1	-	232	0.00054	20.3	5.3	3	3	0.44	2.00E+03	-0.5	0.1	4	12	221	229	218	230	0.73	Zinc-finger double domain
zf-C2H2	PF00096.27	23	Skud_NRG1	-	232	0.00064	20.1	0.7	1	2	1.40E-07	0.00064	20.1	0.7	1	23	174	196	174	196	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Skud_NRG1	-	232	0.00064	20.1	0.7	2	2	0.02	93	3.8	10.5	1	23	202	226	202	226	0.95	Zinc finger, C2H2 type
zf-C2H2_4	PF13894.7	24	Skud_NRG1	-	232	0.0022	18.7	14.7	1	2	1.10E-05	0.05	14.5	0.4	1	19	174	192	174	196	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Skud_NRG1	-	232	0.0022	18.7	14.7	2	2	0.002	9	7.5	8.4	1	23	202	226	202	227	0.95	C2H2-type zinc finger
SOBP	PF15279.7	327	Skud_NRG1	-	232	0.0039	17.9	1.1	1	1	1.00E-06	0.0046	17.7	1.1	55	155	72	171	53	218	0.67	Sine oculis-binding protein
zf-H2C2_2	PF13465.7	26	Smik_NRG1	-	232	0.00054	20.3	5.3	1	3	0.1	4.70E+02	1.5	0.2	17	26	176	185	171	185	0.85	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Smik_NRG1	-	232	0.00054	20.3	5.3	2	3	1.20E-07	0.00054	20.3	5.3	1	25	188	214	188	215	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Smik_NRG1	-	232	0.00054	20.3	5.3	3	3	0.72	3.30E+03	-1.2	1.7	1	8	222	229	220	231	0.56	Zinc-finger double domain
zf-C2H2	PF00096.27	23	Smik_NRG1	-	232	0.00064	20.1	0.7	1	2	1.40E-07	0.00064	20.1	0.7	1	23	174	196	174	196	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Smik_NRG1	-	232	0.00064	20.1	0.7	2	2	0.02	93	3.8	10.5	1	23	202	226	202	226	0.95	Zinc finger, C2H2 type
zf-C2H2_4	PF13894.7	24	Smik_NRG1	-	232	0.0036	18	15.7	1	2	1.10E-05	0.05	14.5	0.4	1	19	174	192	174	196	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Smik_NRG1	-	232	0.0036	18	15.7	2	2	0.0034	15	6.7	9.4	1	23	202	226	202	231	0.89	C2H2-type zinc finger
zf-C2H2_3rep	PF18868.2	126	Smik_NRG1	-	232	0.016	16	1.8	1	2	0.05	2.30E+02	2.5	0.2	62	103	107	148	42	151	0.8	Zinc finger C2H2-type, 3 repeats
zf-C2H2_3rep	PF18868.2	126	Smik_NRG1	-	232	0.016	16	1.8	2	2	1.00E-05	0.048	14.4	0.7	54	122	125	194	110	197	0.64	Zinc finger C2H2-type, 3 repeats
zf-H2C2_2	PF13465.7	26	Scer_NRG1	-	232	0.00054	20.3	5.3	1	3	0.098	3.60E+02	1.9	0.1	15	26	174	185	169	185	0.82	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Scer_NRG1	-	232	0.00054	20.3	5.3	2	3	1.50E-07	0.00054	20.3	5.3	1	25	188	214	188	215	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Scer_NRG1	-	232	0.00054	20.3	5.3	3	3	0.54	2.00E+03	-0.5	0.1	4	12	221	229	218	230	0.73	Zinc-finger double domain
zf-C2H2	PF00096.27	23	Scer_NRG1	-	232	0.00064	20.1	0.7	1	2	1.70E-07	0.00064	20.1	0.7	1	23	174	196	174	196	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Scer_NRG1	-	232	0.00064	20.1	0.7	2	2	0.026	93	3.8	10.5	1	23	202	226	202	226	0.95	Zinc finger, C2H2 type
zf-C2H2_4	PF13894.7	24	Scer_NRG1	-	232	0.0023	18.7	14.7	1	2	1.40E-05	0.05	14.5	0.4	1	19	174	192	174	196	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Scer_NRG1	-	232	0.0023	18.7	14.7	2	2	0.0025	9	7.5	8.4	1	23	202	226	202	227	0.95	C2H2-type zinc finger
zf-C2H2_3rep	PF18868.2	126	Scer_NRG1	-	232	0.024	15.4	2.1	1	2	0.17	6.30E+02	1.1	0.2	63	89	102	126	41	151	0.6	Zinc finger C2H2-type, 3 repeats
zf-C2H2_3rep	PF18868.2	126	Scer_NRG1	-	232	0.024	15.4	2.1	2	2	1.80E-05	0.065	14	0.4	72	122	144	194	115	197	0.71	Zinc finger C2H2-type, 3 repeats
SOBP	PF15279.7	327	Scer_NRG1	-	232	0.027	15.1	1.7	1	1	8.90E-06	0.033	14.9	1.7	56	148	73	172	52	218	0.65	Sine oculis-binding protein
zf-C2H2	PF00096.27	23	Kwal_NRG1/NRG2	-	265	5.20E-06	26.6	14.8	1	2	4.00E-08	0.00018	21.8	0.9	1	23	201	223	201	223	0.98	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Kwal_NRG1/NRG2	-	265	5.20E-06	26.6	14.8	2	2	0.00036	1.7	9.3	7.1	1	23	229	253	229	253	0.97	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Kwal_NRG1/NRG2	-	265	0.00032	21	2.4	1	3	0.012	53	4.5	0.1	13	26	199	212	191	212	0.84	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Kwal_NRG1/NRG2	-	265	0.00032	21	2.4	2	3	6.90E-08	0.00032	21	2.4	1	25	215	241	215	242	0.91	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Kwal_NRG1/NRG2	-	265	0.00032	21	2.4	3	3	1.1	5.00E+03	-1.7	0.2	3	9	247	253	245	257	0.7	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Kwal_NRG1/NRG2	-	265	0.0011	19.6	12.6	1	2	2.10E-05	0.097	13.6	0.6	1	19	201	219	201	223	0.91	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Kwal_NRG1/NRG2	-	265	0.0011	19.6	12.6	2	2	0.00034	1.6	9.8	5.6	1	23	229	253	229	254	0.94	C2H2-type zinc finger
Med3	PF11593.9	398	Kwal_NRG1/NRG2	-	265	2.5	7.3	3.6	1	1	0.00085	3.9	6.7	3.6	123	208	117	198	105	207	0.79	Mediator complex subunit 3 fungal
zf-C2H2	PF00096.27	23	Lthe_NRG1/NRG2	-	266	1.90E-05	24.9	15.7	1	2	9.80E-08	0.00045	20.5	1.4	1	23	202	224	202	224	0.98	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Lthe_NRG1/NRG2	-	266	1.90E-05	24.9	15.7	2	2	0.00034	1.5	9.4	7	1	23	230	254	230	254	0.97	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Lthe_NRG1/NRG2	-	266	0.00041	20.7	2.6	1	3	0.01	46	4.7	0.1	13	26	200	213	189	213	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Lthe_NRG1/NRG2	-	266	0.00041	20.7	2.6	2	3	9.00E-08	0.00041	20.7	2.6	1	25	216	242	216	243	0.91	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Lthe_NRG1/NRG2	-	266	0.00041	20.7	2.6	3	3	1.1	5.00E+03	-1.7	0.2	3	9	248	254	246	258	0.7	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Lthe_NRG1/NRG2	-	266	0.021	15.7	13.2	1	2	0.0003	1.4	10	0.9	1	19	202	220	202	224	0.91	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Lthe_NRG1/NRG2	-	266	0.021	15.7	13.2	2	2	0.0003	1.4	10	5.5	1	23	230	254	230	255	0.94	C2H2-type zinc finger
PHC2_SAM_assoc	PF16616.6	123	Lthe_NRG1/NRG2	-	266	7.7	7.3	8.2	1	2	0.0014	6.6	7.5	5.7	62	105	130	173	116	184	0.77	Unstructured region on Polyhomeotic-like protein 1 and 2
PHC2_SAM_assoc	PF16616.6	123	Lthe_NRG1/NRG2	-	266	7.7	7.3	8.2	2	2	0.24	1.10E+03	0.3	0.7	83	105	172	195	169	205	0.65	Unstructured region on Polyhomeotic-like protein 1 and 2
zf-C2H2	PF00096.27	23	Lklu_NRG1/NRG2	-	158	4.00E-08	33.3	13.8	1	2	5.90E-09	2.10E-05	24.7	1.3	1	23	100	122	100	122	0.98	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Lklu_NRG1/NRG2	-	158	4.00E-08	33.3	13.8	2	2	2.40E-05	0.086	13.4	5.4	1	23	128	152	128	152	0.97	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Lklu_NRG1/NRG2	-	158	2.10E-06	27.9	8.5	1	3	0.0033	12	6.5	0.1	13	26	98	111	93	111	0.86	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Lklu_NRG1/NRG2	-	158	2.10E-06	27.9	8.5	2	3	1.40E-08	5.00E-05	23.6	1.3	1	25	114	140	114	141	0.89	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Lklu_NRG1/NRG2	-	158	2.10E-06	27.9	8.5	3	3	0.26	9.30E+02	0.6	0.1	3	11	146	154	144	156	0.74	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Lklu_NRG1/NRG2	-	158	6.10E-05	23.5	11.5	1	2	2.40E-06	0.0089	16.8	0.8	1	19	100	118	100	122	0.91	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Lklu_NRG1/NRG2	-	158	6.10E-05	23.5	11.5	2	2	0.00021	0.75	10.8	4.1	1	23	128	152	128	153	0.93	C2H2-type zinc finger
zf-Dof	PF02701.16	59	Lklu_NRG1/NRG2	-	158	0.017	15.3	0.2	1	1	8.40E-06	0.031	14.5	0.2	26	45	97	116	89	129	0.79	Dof domain, zinc finger
zf-met	PF12874.8	25	Lklu_NRG1/NRG2	-	158	0.053	13.9	3.9	1	2	2.70E-05	0.099	13.1	0.3	1	21	100	120	100	123	0.91	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Lklu_NRG1/NRG2	-	158	0.053	13.9	3.9	2	2	0.15	5.60E+02	1.1	0.3	13	20	146	153	135	155	0.61	Zinc-finger of C2H2 type
zf-C2H2	PF00096.27	23	Ecym_NRG1/NRG2	-	258	4.90E-05	23.6	21	1	2	1.10E-07	0.00041	20.7	3.6	1	23	193	215	193	215	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Ecym_NRG1/NRG2	-	258	4.90E-05	23.6	21	2	2	0.00093	3.4	8.3	9.5	1	23	221	245	221	245	0.98	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Ecym_NRG1/NRG2	-	258	0.00022	21.6	13.2	1	3	0.00077	2.8	8.5	0.3	13	26	191	204	186	204	0.82	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Ecym_NRG1/NRG2	-	258	0.00022	21.6	13.2	2	3	1.30E-06	0.0049	17.3	3.7	1	25	207	233	207	234	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Ecym_NRG1/NRG2	-	258	0.00022	21.6	13.2	3	3	0.24	8.60E+02	0.7	0.1	4	13	240	249	237	255	0.8	Zinc-finger double domain
zf-C2H2_jaz	PF12171.9	27	Ecym_NRG1/NRG2	-	258	0.099	13	0.2	1	2	2.70E-05	0.099	13	0.2	1	20	192	211	192	213	0.88	Zinc-finger double-stranded RNA-binding
zf-C2H2_jaz	PF12171.9	27	Ecym_NRG1/NRG2	-	258	0.099	13	0.2	2	2	1.5	5.50E+03	-2.2	0.2	16	21	241	246	232	247	0.64	Zinc-finger double-stranded RNA-binding
zf-met	PF12874.8	25	Ecym_NRG1/NRG2	-	258	0.2	12.1	0.2	1	3	5.40E-05	0.2	12.1	0.2	2	21	194	213	193	216	0.9	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ecym_NRG1/NRG2	-	258	0.2	12.1	0.2	2	3	0.5	1.80E+03	-0.5	0.1	7	20	212	225	212	225	0.88	Zinc-finger of C2H2 type
zf-met	PF12874.8	25	Ecym_NRG1/NRG2	-	258	0.2	12.1	0.2	3	3	0.26	9.30E+02	0.4	0.9	6	21	228	243	228	247	0.64	Zinc-finger of C2H2 type
zf-C2H2_4	PF13894.7	24	Ecym_NRG1/NRG2	-	258	0.35	11.8	16.4	1	2	0.00047	1.7	9.7	1.9	1	19	193	211	193	215	0.9	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Ecym_NRG1/NRG2	-	258	0.35	11.8	16.4	2	2	0.003	11	7.2	6.9	1	23	221	245	221	246	0.92	C2H2-type zinc finger
zf-C2H2	PF00096.27	23	Egos_NRG1/NRG2	-	141	2.80E-05	24.3	18.6	1	2	8.30E-08	0.00038	20.8	2.7	3	23	82	102	80	102	0.96	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Egos_NRG1/NRG2	-	141	2.80E-05	24.3	18.6	2	2	0.00043	2	9.1	8.1	2	23	109	132	108	132	0.95	Zinc finger, C2H2 type
zf-H2C2_2	PF13465.7	26	Egos_NRG1/NRG2	-	141	0.00025	21.3	12.3	1	3	0.001	4.6	7.9	0.2	12	26	75	91	72	91	0.79	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Egos_NRG1/NRG2	-	141	0.00025	21.3	12.3	2	3	4.00E-07	0.0018	18.6	2.9	1	25	94	120	94	121	0.88	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Egos_NRG1/NRG2	-	141	0.00025	21.3	12.3	3	3	0.32	1.50E+03	0	0.1	4	11	127	134	124	138	0.75	Zinc-finger double domain
zf-C2H2_4	PF13894.7	24	Egos_NRG1/NRG2	-	141	0.025	15.4	14.9	1	2	9.00E-05	0.41	11.6	1.5	2	19	81	98	80	102	0.89	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Egos_NRG1/NRG2	-	141	0.025	15.4	14.9	2	2	0.00074	3.4	8.8	6	2	23	109	132	108	133	0.91	C2H2-type zinc finger
zf-C2H2_11	PF16622.6	29	Egos_NRG1/NRG2	-	141	0.031	14	1.8	1	2	6.90E-06	0.031	14	1.8	7	26	82	101	79	102	0.93	zinc-finger C2H2-type
zf-C2H2_11	PF16622.6	29	Egos_NRG1/NRG2	-	141	0.031	14	1.8	2	2	1.2	5.70E+03	-2.8	0.1	10	15	115	120	114	122	0.68	zinc-finger C2H2-type
zf-C2H2	PF00096.27	23	Klac_NRG1/NRG2	-	358	6.60E-08	32.6	13.3	1	2	6.80E-08	0.00018	21.8	1.2	1	23	284	306	284	306	0.97	Zinc finger, C2H2 type
zf-C2H2	PF00096.27	23	Klac_NRG1/NRG2	-	358	6.60E-08	32.6	13.3	2	2	8.60E-06	0.022	15.2	5	1	23	312	336	312	336	0.97	Zinc finger, C2H2 type
zf-C2H2_4	PF13894.7	24	Klac_NRG1/NRG2	-	358	0.00013	22.5	10.4	1	2	7.00E-06	0.018	15.8	0.6	1	19	284	302	284	306	0.92	C2H2-type zinc finger
zf-C2H2_4	PF13894.7	24	Klac_NRG1/NRG2	-	358	0.00013	22.5	10.4	2	2	0.00047	1.2	10.2	3.4	1	23	312	336	312	337	0.92	C2H2-type zinc finger
zf-H2C2_2	PF13465.7	26	Klac_NRG1/NRG2	-	358	0.00018	21.8	2.2	1	4	5.2	1.30E+04	-3.1	0.1	5	10	82	87	82	88	0.86	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Klac_NRG1/NRG2	-	358	0.00018	21.8	2.2	2	4	0.27	7.20E+02	0.9	0.1	15	26	284	295	279	295	0.83	Zinc-finger double domain
zf-H2C2_2	PF13465.7	26	Klac_NRG1/NRG2	-	358	0.00018	21.8	2.2	3	4	6.70E-08	0.00018	21.8	2.2	1	25	298	324	298	325	0.88	Zinc-finger double domain
